"week","total_chat","total_adjusted_tickets","retailer_count"
"2012-01-02",1,10,100
"2012-01-09",1,10,102
"2012-01-16",1,10,103
"2012-01-23",1,10,105
"2012-01-30",1,11,106
"2012-02-06",1,11,108
"2012-02-13",1,11,109
"2012-02-20",1,11,111
"2012-02-27",1,11,113
"2012-03-05",1,11,114
"2012-03-12",1,12,116
"2012-03-19",1,12,118
"2012-03-26",1,12,120
"2012-04-02",1,12,121
"2012-04-09",1,12,123
"2012-04-16",1,13,125
"2012-04-23",1,13,127
"2012-04-30",1,13,129
"2012-05-07",1,13,131
"2012-05-14",1,13,133
"2012-05-21",1,13,135
"2012-05-28",1,14,137
"2012-06-04",1,14,139
"2012-06-11",1,14,141
"2012-06-18",1,14,143
"2012-06-25",1,15,145
"2012-07-02",1,15,147
"2012-07-09",1,15,149
"2012-07-16",2,15,152
"2012-07-23",2,15,154
"2012-07-30",2,16,156
"2012-08-06",2,16,159
"2012-08-13",2,16,161
"2012-08-20",2,16,163
"2012-08-27",2,17,166
"2012-09-03",2,17,168
"2012-09-10",2,17,171
"2012-09-17",2,17,173
"2012-09-24",2,18,176
"2012-10-01",2,18,179
"2012-10-08",2,18,181
"2012-10-15",2,18,184
"2012-10-22",2,19,187
"2012-10-29",2,19,190
"2012-11-05",2,19,193
"2012-11-12",2,20,195
"2012-11-19",2,20,198
"2012-11-26",2,20,201
"2012-12-03",2,20,204
"2012-12-10",2,21,207
"2012-12-17",2,21,211
"2012-12-24",2,21,214
"2012-12-31",2,22,217
"2013-01-07",2,22,220
"2013-01-14",2,22,223
"2013-01-21",2,23,227
"2013-01-28",2,23,230
"2013-02-04",2,23,234
"2013-02-11",2,24,237
"2013-02-18",2,24,241
"2013-02-25",2,24,244
"2013-03-04",2,25,248
"2013-03-11",3,25,252
"2013-03-18",3,26,255
"2013-03-25",3,26,259
"2013-04-01",3,26,263
"2013-04-08",3,27,267
"2013-04-15",3,27,271
"2013-04-22",3,28,275
"2013-04-29",3,28,279
"2013-05-06",3,28,284
"2013-05-13",3,29,288
"2013-05-20",3,29,292
"2013-05-27",3,30,296
"2013-06-03",3,30,301
"2013-06-10",3,31,305
"2013-06-17",3,31,310
"2013-06-24",3,31,315
"2013-07-01",3,32,319
"2013-07-08",3,32,324
"2013-07-15",3,33,329
"2013-07-22",3,33,334
"2013-07-29",3,34,339
"2013-08-05",3,34,344
"2013-08-12",3,35,349
"2013-08-19",4,35,354
"2013-08-26",4,36,360
"2013-09-02",4,37,365
"2013-09-09",4,37,371
"2013-09-16",4,38,376
"2013-09-23",4,38,382
"2013-09-30",4,39,388
"2013-10-07",4,39,393
"2013-10-14",4,40,399
"2013-10-21",4,41,405
"2013-10-28",4,41,411
"2013-11-04",4,42,418
"2013-11-11",4,42,424
"2013-11-18",4,43,430
"2013-11-25",4,44,437
"2013-12-02",4,44,443
"2013-12-09",4,45,450
"2013-12-16",5,46,457
"2013-12-23",5,46,463
"2013-12-30",5,47,470
"2014-01-06",5,48,477
"2014-01-13",5,48,485
"2014-01-20",5,49,492
"2014-01-27",5,50,499
"2014-02-03",5,51,507
"2014-02-10",5,51,514
"2014-02-17",5,52,522
"2014-02-24",5,53,530
"2014-03-03",5,54,538
"2014-03-10",5,55,546
"2014-03-17",6,55,554
"2014-03-24",6,56,562
"2014-03-31",6,57,571
"2014-04-07",6,58,579
"2014-04-14",6,59,588
"2014-04-21",6,60,597
"2014-04-28",6,61,606
"2014-05-05",6,61,615
"2014-05-12",6,62,624
"2014-05-19",6,63,634
"2014-05-26",6,64,643
"2014-06-02",7,65,653
"2014-06-09",7,66,663
"2014-06-16",7,67,672
"2014-06-23",7,68,683
"2014-06-30",7,69,693
"2014-07-07",7,70,703
"2014-07-14",7,71,714
"2014-07-21",7,72,724
"2014-07-28",7,74,735
